composition	day	replicate	concentration (ppb)	8 (cells/ml)	10 (cells/ml)	17 (cells/ml)	18 (cells/ml)	E18 (cells/ml)	23 ( cells/ml)	31 (cells/ml)	32 (cells/ml)	NO3- (mg/l)	PO43- (mg/l)	Si (mg/l)	Atrazine (ppb)
31	3	2	25	0	0	0	0	0	0	237	0	NA	NA	NA	NA
31	3	3	25	0	0	0	0	0	0	391	0	NA	NA	NA	NA
31	3	1	250	0	0	0	0	0	0	237	0	NA	NA	NA	NA
31	3	2	250	0	0	0	0	0	0	122	0	NA	NA	NA	NA
31	3	3	250	0	0	0	0	0	0	188	0	NA	NA	NA	NA
18	3	1	0	0	0	0	23	0	0	0	0	NA	NA	NA	NA
18	3	2	0	0	0	0	50	0	0	0	0	NA	NA	NA	NA
18	3	3	0	0	0	0	39	0	0	0	0	NA	NA	NA	NA
18	3	1	25	0	0	0	23	0	0	0	0	NA	NA	NA	NA
18	3	2	25	0	0	0	17	0	0	0	0	NA	NA	NA	NA
18	3	3	25	0	0	0	23	0	0	0	0	NA	NA	NA	NA
18	3	1	250	0	0	0	39	0	0	0	0	NA	NA	NA	NA
18	3	2	250	0	0	0	34	0	0	0	0	NA	NA	NA	NA
18	3	3	250	0	0	0	12	0	0	0	0	NA	NA	NA	NA
32	3	1	0	0	0	0	0	0	0	0	780	NA	NA	NA	NA
32	3	2	0	0	0	0	0	0	0	0	945	NA	NA	NA	NA
32	3	3	0	0	0	0	0	0	0	0	1202	NA	NA	NA	NA
32	3	1	25	0	0	0	0	0	0	0	716	NA	NA	NA	NA
32	3	2	25	0	0	0	0	0	0	0	752	NA	NA	NA	NA
32	3	3	25	0	0	0	0	0	0	0	780	NA	NA	NA	NA
32	3	1	250	0	0	0	0	0	0	0	780	NA	NA	NA	NA
32	3	2	250	0	0	0	0	0	0	0	606	NA	NA	NA	NA
32	3	3	250	0	0	0	0	0	0	0	761	NA	NA	NA	NA
23	3	1	0	0	0	0	0	0	0	3906	0	NA	NA	NA	NA
23	3	2	0	0	0	0	0	0	0	3384	0	NA	NA	NA	NA
23	3	3	0	0	0	0	0	0	0	2668	0	NA	NA	NA	NA
23	3	1	25	0	0	0	0	0	0	3659	0	NA	NA	NA	NA
23	3	2	25	0	0	0	0	0	0	3108	0	NA	NA	NA	NA
23	3	3	25	0	0	0	0	0	0	3906	0	NA	NA	NA	NA
23	3	1	250	0	0	0	0	0	0	2861	0	NA	NA	NA	NA
23	3	2	250	0	0	0	0	0	0	3191	0	NA	NA	NA	NA
23	3	3	250	0	0	0	0	0	0	2283	0	NA	NA	NA	NA
8/10/18/31	0	1	0	7	76	0	7	0	0	83	0	NA	NA	NA	NA
8/10/18/31	0	2	0	7	83	0	1	0	0	49	0	NA	NA	NA	NA
8/10/18/31	0	3	0	1	90	0	7	0	0	49	0	NA	NA	NA	NA
8/10/18/31	0	1	25	14	138	0	14	0	0	83	0	NA	NA	NA	NA
8/10/18/31	0	2	25	7	83	0	14	0	0	83	0	NA	NA	NA	NA
8/10/18/31	0	3	25	21	69	0	1	0	0	76	0	NA	NA	NA	NA
8/10/18/31	0	1	250	7	56	0	7	0	0	117	0	NA	NA	NA	NA
8/10/18/31	0	2	250	21	90	0	1	0	0	83	0	NA	NA	NA	NA
8/10/18/31	0	3	250	7	104	0	1	0	0	56	0	NA	NA	NA	NA
10/17/18/31	0	1	0	0	42	461	1	0	0	42	0	NA	NA	NA	NA
10/17/18/31	0	2	0	0	76	207	1	0	0	56	0	NA	NA	NA	NA
10/17/18/31	0	3	0	0	69	227	1	0	0	83	0	NA	NA	NA	NA
10/17/18/31	0	1	25	0	97	324	1	0	0	49	0	NA	NA	NA	NA
10/17/18/31	0	2	25	0	62	317	7	0	0	111	0	NA	NA	NA	NA
10/17/18/31	0	3	25	0	56	269	14	0	0	111	0	NA	NA	NA	NA
10/17/18/31	0	1	250	0	124	207	1	0	0	90	0	NA	NA	NA	NA
10/17/18/31	0	2	250	0	42	427	1	0	0	69	0	NA	NA	NA	NA
10/17/18/31	0	3	250	0	104	509	14	0	0	117	0	NA	NA	NA	NA
8/E18/23/32	0	1	0	1	0	0	0	42	1169	0	111	NA	NA	NA	NA
8/E18/23/32	0	2	0	1	0	0	0	42	1004	0	179	NA	NA	NA	NA
8/E18/23/32	0	3	0	1	0	0	0	111	1073	0	56	NA	NA	NA	NA
8/E18/23/32	0	1	25	14	0	0	0	28	922	0	276	NA	NA	NA	NA
8/E18/23/32	0	2	25	14	0	0	0	42	1087	0	124	NA	NA	NA	NA
8/E18/23/32	0	3	25	1	0	0	0	56	1857	0	207	NA	NA	NA	NA
8/E18/23/32	0	1	250	1	0	0	0	56	1046	0	152	NA	NA	NA	NA
8/E18/23/32	0	2	250	1	0	0	0	97	1114	0	193	NA	NA	NA	NA
8/E18/23/32	0	3	250	14	0	0	0	69	1321	0	193	NA	NA	NA	NA
8/17/E18/23	0	1	0	19	0	496	0	111	945	0	0	NA	NA	NA	NA
8/17/E18/23	0	2	0	10	0	569	0	166	1000	0	0	NA	NA	NA	NA
8/17/E18/23	0	3	0	28	0	578	0	147	1266	0	0	NA	NA	NA	NA
8/17/E18/23	0	1	25	1	0	477	0	111	1376	0	0	NA	NA	NA	NA
8/17/E18/23	0	2	25	10	0	184	0	156	1073	0	0	NA	NA	NA	NA
8/17/E18/23	0	3	25	28	0	211	0	56	853	0	0	NA	NA	NA	NA
8/17/E18/23	0	1	250	10	0	450	0	120	1119	0	0	NA	NA	NA	NA
8/17/E18/23	0	2	250	10	0	312	0	101	1027	0	0	NA	NA	NA	NA
8/17/E18/23	0	3	250	10	0	395	0	74	1000	0	0	NA	NA	NA	NA
17/E18/31/32	0	1	0	0	0	578	0	147	0	129	147	NA	NA	NA	NA
17/E18/31/32	0	2	0	0	0	477	0	156	0	129	28	NA	NA	NA	NA
17/E18/31/32	0	3	0	0	0	312	0	83	0	129	74	NA	NA	NA	NA
17/E18/31/32	0	1	25	0	0	661	0	193	0	56	147	NA	NA	NA	NA
17/E18/31/32	0	2	25	0	0	294	0	83	0	28	28	NA	NA	NA	NA
17/E18/31/32	0	3	25	0	0	560	0	83	0	83	92	NA	NA	NA	NA
17/E18/31/32	0	1	250	0	0	468	0	120	0	83	111	NA	NA	NA	NA
17/E18/31/32	0	2	250	0	0	642	0	46	0	83	111	NA	NA	NA	NA
17/E18/31/32	0	3	250	0	0	395	0	101	0	166	129	NA	NA	NA	NA
8/10/17/23	0	1	0	19	101	560	0	0	1238	0	0	NA	NA	NA	NA
8/10/17/23	0	2	0	1	101	441	0	0	1000	0	0	NA	NA	NA	NA
8/10/17/23	0	3	0	19	74	624	0	0	899	0	0	NA	NA	NA	NA
8/10/17/23	0	1	25	10	83	395	0	0	551	0	0	NA	NA	NA	NA
8/10/17/23	0	2	25	10	37	468	0	0	761	0	0	NA	NA	NA	NA
8/10/17/23	0	3	25	10	92	706	0	0	1293	0	0	NA	NA	NA	NA
8/10/17/23	0	1	250	10	101	633	0	0	1293	0	0	NA	NA	NA	NA
8/10/17/23	0	2	250	10	56	514	0	0	1302	0	0	NA	NA	NA	NA
8/10/17/23	0	3	250	28	92	734	0	0	1550	0	0	NA	NA	NA	NA
10/17/18/E18	0	1	0	0	56	670	358	166	0	0	0	NA	NA	NA	NA
10/17/18/E18	0	2	0	0	129	670	303	239	0	0	0	NA	NA	NA	NA
10/17/18/E18	0	3	0	0	101	386	468	193	0	0	0	NA	NA	NA	NA
10/17/18/E18	0	1	25	0	10	743	459	303	0	0	0	NA	NA	NA	NA
10/17/18/E18	0	2	25	0	46	844	230	120	0	0	0	NA	NA	NA	NA
10/17/18/E18	0	3	25	0	19	477	303	248	0	0	0	NA	NA	NA	NA
10/17/18/E18	0	1	250	0	65	615	138	175	0	0	0	NA	NA	NA	NA
10/17/18/E18	0	2	250	0	37	615	303	156	0	0	0	NA	NA	NA	NA
